% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
-0.07104168463335157      -20.628612247998287
-0.07057732066647861      -20.66778986069671
-0.06826758143126635      -20.85945207602605
-0.06720372247599095      -20.947532233192195
-0.06698981777887932      -20.964945221282637
-0.06382943451546724      -21.218759796534695
-0.06293695908518715      -21.28919771296643
-0.06045447796243009      -21.482410829223078
-0.059326041634239685     -21.567487153778522
-0.056715161319830544     -21.763165503825086
-0.056414309498483285     -21.78483486710507
-0.055355942681362        -21.860593973805287
-0.05350194052751106      -21.992333097113438
-0.05297486301240259      -22.029550790090312
-0.05058895543425767      -22.19105818783396
-0.049358024797604184     -22.273520670558263
-0.047609734719560495     -22.38588274407737
-0.04595939543400152      -22.490687219090763
-0.04462991765782698      -22.571497895377306
-0.04255996054540502      -22.695735114745588
-0.041649504253039135     -22.747903754620552
-0.03915972012888087      -22.88866428864581
-0.03849327494841519      -22.923770608258675
-0.03448850697679701      -23.131329121252897
-0.03444802366745581      -23.13322583190515
-0.03418634749937563      -23.145263750306636
-0.030401712514928864     -23.31844011261876
-0.03005876903925429      -23.333634361268313
-0.029417823831476918     -23.361213735599613
-0.027321880121842074     -23.444150348992657
-0.0262002569904264       -23.48710260761939
-0.024584619414590787     -23.54615970956301
-0.021997989055082493     -23.637412548583747
-0.021847012509958668     -23.642475939157272
-0.0215648363237415       -23.651579891628394
-0.019108961401098315     -23.72232455124389
-0.017305864431359376     -23.77062321574399
-0.015924745344382006     -23.80530083656944
-0.014222330758233174     -23.844418383255793
-0.012740282425361335     -23.873304988001845
-0.011537971367723594     -23.894178102588455
-0.009555562921023797     -23.92526798680378
-0.007111831904695727     -23.95838803480722
-0.006370629221681949     -23.96585014618458
-0.005769364946483654     -23.97062312845983
-0.0031854062742377636    -23.98680003828934
-4.518045709880224E-8     -23.99996048383329
-4.895644114556357E-10    -23.99996059937012
6.884734024473197E-8      -23.99996052900322
0.0037642085391459295     -23.985855543175568
0.006849357628396522      -23.96160411941505
0.007528079564392708      -23.954771665951654
0.008356162926555779      -23.943028516861766
0.011291541627843458      -23.90059437438001
0.013697317466087322      -23.855915961714622
0.01505464089142362       -23.827713297187124
0.016710660398750785      -23.786487801410274
0.0188173493342308        -23.733463936840685
0.02054394837264833       -23.682898399720237
0.022579676830932975      -23.6187853133883
0.02420696852443769       -23.563144423984035
0.02497721682063143       -23.53605154998437
0.02557781701211635       -23.51424251114892
0.027374423696155954      -23.443934497417047
0.02967807429282862       -23.35116153305128
0.029771348773694722      -23.347313559460655
0.029844084102848962      -23.344230086329127
0.03216791809458562       -23.239156198496815
0.03410941974520998       -23.14915787548837
0.03474152979077652       -23.11823782496942
0.03778889523532866       -22.962964846103972
0.038071553203445664      -22.947952893476558
0.040216895347403296      -22.830170999435495
0.04133510995294747       -22.767250555972915
0.042540450491713386      -22.69772719158177
0.044597948943448554      -22.576237254184292
0.044863656137226565      -22.560172950894785
0.045520700456261644      -22.519549774069354
0.047186463633260345      -22.415305599789555
0.04786002983339952       -22.372231409563398
0.049508902440724846      -22.2644590078459
0.052259721273143975      -22.076199023247874
0.05406637405516425       -21.95097106629356
0.05782168636291855       -21.67924663281869
0.05862247402657174       -21.62060097850344
0.06225071401689743       -21.343841219109777
0.06317719369249641       -21.27295652612019
0.06338163620108883       -21.25669189877627
0.06710531297144558       -20.957402059894758
0.06943272968855552       -20.765053302047107
0.07100309166897614       -20.634177497123126
0.07384664420424343       -20.390734341055996
0.07489988234797888       -20.29952245738019
0.07515401534189602       -20.277669300020907
0.07669220922683577       -20.142717753405385
0.07779648962981692       -20.046939894647988
0.07848444427226695       -19.98607220443384
0.07993478254148274       -19.859202821786912
0.08027656239489393       -19.828664644390635
0.0804386937826519        -19.814340353462434
0.08206848222747988       -19.6675076440704
0.08308058001950701       -19.577337352513876
0.08386031022654337       -19.506509795229146
0.08550411742354945       -19.358837987241067
0.08563627269700422       -19.346745930860973
0.08588554750670924       -19.32406687561149
0.08838984478665257       -19.092989792912427
0.08923647177263011       -19.014968896687453
0.09112517350174329       -18.838088655968196
0.09289633644948288       -18.672423695710563
0.09386013861747143       -18.580831854978012
0.09655551001699929       -18.325001643313545
0.09659474013345819       -18.32121937747741
0.09671078392883434       -18.310044916075793
0.09932884406008692       -18.054673502131376
